Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,isAsleep
1503960366,2016-03-12 00:00:00,48,0,0.0,0,
1503960366,2016-03-12 01:00:00,48,0,0.0,0,
1503960366,2016-03-12 02:00:00,48,0,0.0,0,
1503960366,2016-03-12 03:00:00,48,0,0.0,0,
1503960366,2016-03-12 04:00:00,48,0,0.0,0,
1503960366,2016-03-12 05:00:00,48,0,0.0,0,
1503960366,2016-03-12 06:00:00,48,0,0.0,0,
1503960366,2016-03-12 07:00:00,48,0,0.0,0,
1503960366,2016-03-12 08:00:00,48,0,0.0,0,
1503960366,2016-03-12 09:00:00,49,1,0.016667,8,
1503960366,2016-03-12 10:00:00,89,26,0.433333,551,
1503960366,2016-03-12 11:00:00,134,49,0.816667,1764,
1503960366,2016-03-12 12:00:00,130,47,0.783333,1259,
1503960366,2016-03-12 13:00:00,81,20,0.333333,253,
1503960366,2016-03-12 14:00:00,254,121,2.016667,4470,
1503960366,2016-03-12 15:00:00,271,129,2.15,4919,
1503960366,2016-03-12 16:00:00,141,42,0.7,1905,
1503960366,2016-03-12 17:00:00,104,20,0.333333,1038,
1503960366,2016-03-12 18:00:00,54,2,0.033333,14,
1503960366,2016-03-12 19:00:00,97,30,0.5,606,
1503960366,2016-03-12 20:00:00,58,4,0.066667,56,
1503960366,2016-03-12 21:00:00,100,29,0.483333,782,
1503960366,2016-03-12 22:00:00,123,41,0.683333,1132,
1503960366,2016-03-12 23:00:00,111,35,0.583333,918,
1503960366,2016-03-13 00:00:00,55,3,0.05,39,
1503960366,2016-03-13 01:00:00,48,0,0.0,0,
1503960366,2016-03-13 02:00:00,50,1,0.016667,27,1.0
1503960366,2016-03-13 03:00:00,48,0,0.0,0,1.0
1503960366,2016-03-13 04:00:00,48,0,0.0,0,1.0
1503960366,2016-03-13 05:00:00,48,0,0.0,0,1.0
1503960366,2016-03-13 06:00:00,48,0,0.0,0,1.0
1503960366,2016-03-13 07:00:00,49,0,0.0,0,1.0
1503960366,2016-03-13 08:00:00,49,1,0.016667,6,1.0
1503960366,2016-03-13 09:00:00,56,5,0.083333,73,1.0
1503960366,2016-03-13 10:00:00,189,85,1.416667,2850,0.0
1503960366,2016-03-13 11:00:00,270,130,2.166667,4854,0.0
